Close Date / time / sec,close,Instrument,Forecast,INCORRECT,CORRECT,Portfolio,Duration
2018-10-11 13:00:00,6310.5,BTSUSD,DOWN
2018-10-11 14:00:00,6307.6,BTSUSD,DOWN,0,1,0.05,1
2018-10-11 15:00:00,6292.5,BTSUSD,UP,0,1,0.24,1
2018-10-11 16:00:00,6310.0,BTSUSD,UP,0,1,0.28,1
2018-10-11 17:00:00,6314.3,BTSUSD,UP,0,1,0.07,1
2018-10-11 18:00:00,6294.4,BTSUSD,UP,1,0,-0.32,1
2018-10-11 19:00:00,6295.8,BTSUSD,UP,0,1,0.02,1
2018-10-11 20:00:00,6302.3,BTSUSD,DOWN,0,1,0.1,1
2018-10-11 21:00:00,6299.3,BTSUSD,DOWN,0,1,0.05,1
2018-10-11 22:00:00,6288.7,BTSUSD,UP,0,1,0.17,1
2018-10-11 23:00:00,6251.9,BTSUSD,DOWN,1,0,-0.59,1
2018-10-12,6255.6,BTSUSD,DOWN,1,0,-0.06,1
2018-10-12 01:00:00,6278.1,BTSUSD,DOWN,1,0,-0.36,1
2018-10-12 02:00:00,6290.88632685,BTSUSD,DOWN,1,0,-0.2,1
2018-10-12 03:00:00,6311.0,BTSUSD,UP,1,0,-0.32,1
2018-10-12 04:00:00,6311.7,BTSUSD,UP,0,1,0.01,1
2018-10-12 05:00:00,6314.5,BTSUSD,UP,0,1,0.04,1
2018-10-12 06:00:00,6328.2,BTSUSD,UP,0,1,0.22,1
2018-10-12 07:00:00,6335.7,BTSUSD,UP,0,1,0.12,1
2018-10-12 08:00:00,6331.2,BTSUSD,UP,1,0,-0.07,1
2018-10-12 09:00:00,6311.0,BTSUSD,UP,1,0,-0.32,1
2018-10-12 10:00:00,6315.2,BTSUSD,UP,0,1,0.07,1
